id,source,topic_id,topic_label,matched_topics,snowball_relation,snowball_seed_title,title,authors,year,publication_date,doi,url,is_open_access,cited_by_count,relevance_score,concepts,abstract
a90f90d06822d68e,OpenAlex,snowball,OpenAlex references / related works snowball,snowball,referenced_work,"Gnss-denied unmanned aerial vehicle navigation: analyzing computational complexity, sensor fusion, and localization methodologies",A Pragmatic Approach to the Design of Advanced Precision Terrain-Aided Navigation for UAVs and Its Verification,Jungshin Lee; Chang-Ky Sung; Juhyun Oh; Kyung-Jun Han; Sang‐Woo Lee; Myeong‐Jong Yu,2020,2020-04-28,10.3390/rs12091396,https://doi.org/10.3390/rs12091396,True,12,50,GNSS applications; Computer science; GNSS augmentation; Inertial navigation system; Terrain; Air navigation; Navigation system; Real-time computing; Global Positioning System; Remote sensing; Geography; Telecommunications,"Autonomous unmanned aerial vehicles (UAVs) require highly reliable navigation information. Generally, navigation systems with the inertial navigation system (INS) and global navigation satellite system (GNSS) have been widely used. However, the GNSS is vulnerable to jamming and spoofing. The terrain referenced navigation (TRN) technique can be used to solve this problem. In this study, to obtain reliable navigation information even if a GNSS is not available or the degree of terrain roughness is not determined, we propose a federated filter based INS/GNSS/TRN integrated navigation system. We also introduce a TRN system that combines batch processing and an auxiliary particle filter to ensure stable flight of UAVs even in a long-term GNSS-denied environment. As an altimeter sensor for the TRN system, an interferometric radar altimeter (IRA) is used to obtain reliable navigation accuracy in high altitude flight. In addition, a parallel computing technique with general purpose computing on graphics processing units (GPGPU) is applied to process a high resolution terrain database and a nonlinear filter in real-time on board. Finally, the performance of the proposed system is verified through software-in-the-loop (SIL) tests and captive flight tests in a GNSS unavailable environment."
85bdc615cd1e9e31,OpenAlex,snowball,OpenAlex references / related works snowball,snowball,referenced_work,"Gnss-denied unmanned aerial vehicle navigation: analyzing computational complexity, sensor fusion, and localization methodologies",GPS-denied navigation using location estimation and texel image correction,Nikolas I. Jensen; Scott E. Budge,2023,2023-06-13,10.1117/12.2664119,https://doi.org/10.1117/12.2664119,False,2,49,Global Positioning System; Computer science; Computer vision; Artificial intelligence; Lidar; Kalman filter; Ranging; Sensor fusion; Assisted GPS; Remote sensing; Geography; Telecommunications,"This paper presents a localization system for Unmanned Aerial Vehicles (UAVs), specifically designed for small UAVs to be used in a GPS-denied local area by using estimation algorithms incorporating camera and Light Detection and Ranging (LiDAR) sensor fusion. Localization techniques classically rely on Global Positioning System (GPS) information. However, GPS is subject to jamming. This paper proposes methods of localization without reliance on the GPS. This system utilizes Error-State Extended Kalman Filtering (ESEKF) and methods of camera to LiDAR sensor fusion to correct for error propagations in the aerial vehicle’s estimated location. Initial results from the GPS-denied navigation method showed that the location of the sUAV to an average error of 3.2 m was possible using only texel images and velocity measurements from an experimental flight."
6472548405a71a12,OpenAlex,snowball,OpenAlex references / related works snowball,snowball,related_work,SemperFi: Anti-spoofing GPS Receiver for UAVs,Capture of UAVs Through GPS Spoofing,João Gaspar; Renato Ferreira; Pedro Sebastião; Nuno Souto,2018,2018-11-01,10.1109/gws.2018.8686727,https://doi.org/10.1109/gws.2018.8686727,False,41,45,Global Positioning System; Spoofing attack; GNSS applications; Computer science; Real-time computing; Precision Lightweight GPS Receiver; Drone; Receiver autonomous integrity monitoring; Assisted GPS; Satellite navigation; Software; Embedded system,"The increased use of Unmanned Aerial Vehicles (UAVs), better known as drones, by civilians has grown exponentially and its autonomous flight control systems have improved significantly, which has resulted in a greater number of accidents and dangerous situations. In this paper, we address the use of low-cost programmable Software Defined Radio (SDR) platforms for simulating a Global Navigation Satellite System (GNSS), more specifically Global Positioning System (GPS) signals, in order to transmit false signals and induce a location error on the targeted GPS receiver. Using this approach, a defensive system was implemented which can divert, or even take control of unauthorized UAVs whose flight path depends on the information obtained by the GPS system."
f8856f0ca9978461,OpenAlex,snowball,OpenAlex references / related works snowball,snowball,referenced_work,"Gnss-denied unmanned aerial vehicle navigation: analyzing computational complexity, sensor fusion, and localization methodologies",Terrain Aided Planetary UAV Localization Based on Geo-referencing,Xue Wan; Yuanbin Shao; Shengyang Zhang; Shengyang Li,2022,2022-01-01,10.1109/tgrs.2022.3198745,https://doi.org/10.1109/tgrs.2022.3198745,False,30,43,Computer science; Computer vision; Artificial intelligence; Bundle adjustment; Robustness (evolution); Terrain; Digital elevation model; Simultaneous localization and mapping; Global Positioning System; Remote sensing; Orb (optics); Photogrammetry,"The autonomous real-time optical navigation of planetary unmanned aerial vehicle (UAV) is of the key technologies to ensure the success of the exploration. In such a GPS-denied environment, vision-based localization is an optimal approach. In this article, we proposed a terrain aided simultaneous localisation and mapping (SLAM) algorithm, which simultaneously reconstructs the 3-D map point of environment and estimates the location of a planet UAV based on preexisting digital elevation model (DEM). To directly georeference the onboard UAV images to the digital terrain model, a theoretical model is proposed to prove that topographic features of UAV image and DEM can be correlated in the frequency domain via cross power spectrum. To provide the six-DOF of the UAV, we developed an optimization approach, which fuses the geo-referencing result into an SLAM system via local bundle adjustment (LBA) to achieve robust and accurate vision-based navigation even in featureless planetary areas. To test the robustness and effectiveness of the proposed localization algorithm, a new dataset for planetary drone navigation is proposed based on simulation engine. The proposed dataset includes 40 200 synthetic drone images taken from nine planetary scenes with related DEM query images. Comparison experiments are carried out to demonstrate that over the flight distance of 33.8 km, the proposed method achieved an average localization error of 0.45 m, compared to 1.32 m by ORB-SLAM2 and 0.75 m by ORB-SLAM3, with the processing speed of 12 Hz, which will ensure real-time performance. We will make our datasets available to encourage further work on this topic."
a2cb3abe26679ee2,OpenAlex,snowball,OpenAlex references / related works snowball,snowball,referenced_work,"Gnss-denied unmanned aerial vehicle navigation: analyzing computational complexity, sensor fusion, and localization methodologies",2-D UAV navigation solution with LIDAR sensor under GPS-denied environment,J C Ho; Swee King Phang; Hou Kit Mun,2021,2021-12-01,10.1088/1742-6596/2120/1/012026,https://doi.org/10.1088/1742-6596/2120/1/012026,True,10,43,Simultaneous localization and mapping; Lidar; Computer science; Global Positioning System; Drone; Computer vision; Ranging; Artificial intelligence; MATLAB; Odometry; Real-time computing; Remote sensing,"Abstract Unmanned aerial vehicle (UAV) is widely used by many industries these days such as militaries, agriculture, and surveillance. However, one of the main challenges of UAV is navigating through an environment where global positioning system (GPS) is being denied. The main purpose of this paper is to find a solution for UAV to be able to navigate in a GPS denied surrounding without affecting the drone flight performance. There are two ways to overcome these challenges such as using visual odometry (VO) or by using simultaneous localization and mapping (SLAM). However, VO has a drawback because camera sensors require good lighting which will affect the performance of the UAV when it is navigating through a low light intensity environment. Hence, in this paper 2-D SLAM will be use as a solution to help UAV to navigate under a GPS-denied environment with the help of a light detection and ranging (LIDAR) sensor which known as a LIDAR-based SLAM. This is because SLAM can help UAVs to localize itself and map the surrounding of the environment. The concept and idea of this paper will be fully simulated using MATLAB, where the drone navigation will be simulated in MATLAB to extract LIDAR data and to use the LIDAR data to carry out SLAM via pose graph optimization. Besides, the contribution to this research work has also identified that in pose graph optimization, the loop closure threshold and loop closure radius play an important role. The loop closure threshold can affect the accuracy of the trajectory of the drone and the accuracy of mapping the environment as compared to ground truth. On the other hand, the loop closure search radius can increase the processing speed of obtaining the data via pose graph optimization. The main contribution to this research work is shown that the processing speed can increase up to 45 % and the accuracy of the trajectory of the drone and the mapped surrounding is quite accurate as compared to ground truth."
c6d1ed819c763f4b,OpenAlex,snowball,OpenAlex references / related works snowball,snowball,related_work,"Gnss-denied unmanned aerial vehicle navigation: analyzing computational complexity, sensor fusion, and localization methodologies",Global Navigation Satellite System (GNSS) Independent Navigation for Unmanned Aerial Vehicles (UAV),Engin Göde; Atanur Teoman; Melih Cemal Kuşhan; Kürşat Tonbul; Gökhan İbrahim Öğünç; Batuhan Daz,2024,2024-02-22,10.51785/jar.1370785,https://doi.org/10.51785/jar.1370785,True,0,43,GNSS applications; Air navigation; Inertial measurement unit; GNSS augmentation; Computer science; Global Positioning System; Spoofing attack; Precise Point Positioning; Satellite system; Remote sensing; Galileo (satellite navigation); Real-time computing,"The ability of Unmanned Aerial Vehicles (UAV) to perform autonomous navigation depends on the accurate determination of their positions provided by the Global Navigation Satellite System (GNSS). For position determination and environmental orientation during flight, UAVs are usually equipped with electronic equipment such as GNSS, Inertial Measurement Unit (IMU), gyroscope and accelerometer. However, the GNSS signal may be lost or distorted due to poor weather, obstacles or terrain, the unfavorable position of satellites, spoofing and jamming. In such cases of GNSS signal loss or deterioration, the IMU alone becomes unable to provide reliable UAV location information. Especially in cases where there is not enough visibility and the UAV cannot be brought to the take-off point by manual operation, the loss of the GNSS signal causes great losses. In this paper, GNSS independent flight and navigation studies are included. It is seen that the use of hybrid navigation solutions has great importance in GNSS independent UAV flights."
7ae2757f62466c71,OpenAlex,snowball,OpenAlex references / related works snowball,snowball,referenced_work,A GNSS Instrumentation Covert Directional Spoofing Algorithm for UAV Equipped With Tightly-Coupled GNSS/IMU,GPS spoofing detection using RAIM with INS coupling,Samer Khanafseh; Naeem Roshan; Steven Langel; Fang‐Cheng Chan; Mathieu Joerger; Boris Pervan,2014,2014-05-01,10.1109/plans.2014.6851498,https://doi.org/10.1109/plans.2014.6851498,False,130,41,Receiver autonomous integrity monitoring; Spoofing attack; GNSS applications; Global Positioning System; Computer science; Inertial navigation system; Real-time computing; Fault detection and isolation; Residual; Satellite navigation; Computer security; Artificial intelligence,"In this work, we develop, implement, and test a monitor to detect GPS spoofing attacks using residual-based Receiver Autonomous Integrity Monitoring (RAIM) with inertial navigation sensors. Signal spoofing is a critical threat to all navigation applications that utilize GNSS, and is especially hazardous in aviation applications. This work develops a new method to directly detect spoofing using a GPS/INS integrated navigation system that incorporates fault detection concepts based on RAIM. The method is also capable of providing an upper bound on the proposed monitor's integrity risk."
db8b63871bdd8751,OpenAlex,snowball,OpenAlex references / related works snowball,snowball,related_work,A GNSS Instrumentation Covert Directional Spoofing Algorithm for UAV Equipped With Tightly-Coupled GNSS/IMU,Feasibility of Fault Exclusion Related to Advanced RAIM for GNSS Spoofing Detection,Heidi Kuusniemi; Juan Blanch; Yu‐Hsuan Chen; Sherman Lo; Anna Innac; Giorgia Ferrara; Salomon Honkala; M. Zahidul H. Bhuiyan,2017,2017-11-03,10.33012/2017.15193,https://doi.org/10.33012/2017.15193,False,25,40,Spoofing attack; GNSS applications; Receiver autonomous integrity monitoring; Computer science; Lift (data mining); Real-time computing; GPS signals; Global Positioning System; Computer security; Assisted GPS; Data mining; Telecommunications,"This paper will present an exercise to verify the usefulness of statistical testing of measurement residuals of an overdetermined position solution followed by measurement subset selection for spoofing detection and mitigation for certain spoofing events, to be especially beneficial when multi-GNSS is considered. Tests include utilizing dynamic GPS spoofing data from the TEXBAT testing battery. We will present that Advanced RAIM (Receiver Autonomous Integrity Monitoring) has benefits for spoof detection. RAIM is designed to catch inconsistencies in range measurements and is thus useful in defeating a surreptitious lift off spoofing attack. Inconsistencies in a lift off attack exist when the spoof signal mixes with the genuine signal of similar power levels (within a few dB). The mixing creates some measurements from genuine signals and some from the spoofed signals. ARAIM cannot however mitigate across all categories of spoofers and hence should not represent a standalone spoofing solution. Although pre- and post-correlation signal processing is definitely the most efficient way to detect and mitigate spoofing effects, checking the measurements in the navigation domain is not a lost cause, as presented herein."
ace8dce983b65488,OpenAlex,snowball,OpenAlex references / related works snowball,snowball,referenced_work,Detecting Signal Spoofing Attack in UAVs Using Machine Learning Models,Maximum-Likelihood Power-Distortion Monitoring for GNSS-Signal Authentication,Jason N. Gross; Çağri Kiliç; Todd E. Humphreys,2018,2018-06-18,10.1109/taes.2018.2848318,https://doi.org/10.1109/taes.2018.2848318,True,72,39,Spoofing attack; Detector; GNSS applications; Distortion (music); Multipath propagation; Computer science; False alarm; Jamming; Algorithm; Electronic engineering; Real-time computing; Artificial intelligence,"We propose an extension to the so-called power-distortion (PD) detector. The PD detector jointly monitors received power and correlation-profile distortion to detect the presence of global navigation satellite system (GNSS) carryoff-type spoofing, jamming, or multipath. We show that classification performance can be significantly improved by replacing the PD detector's symmetric-difference (SD) based distortion measurement with one based on the postfit residuals of the maximum-likelihood estimate of a single-signal correlation function model. We call the improved technique the power-distortion maximum-likelihood (PD-ML) detector. In direct comparison with the PD detector, the PD-ML detector exhibits improved classification accuracy when tested against an extensive library of recorded field data. In particular, it is 1) significantly more accurate at distinguishing a spoofing attack from a jamming attack; 2) better at distinguishing multipath-afflicted data from interference-free data; and 3) less likely to issue a false alarm by classifying multipath as spoofing. The PD-ML detector achieves this improved performance at the expense of additional computational complexity."
2bcf8713800ac82b,OpenAlex,snowball,OpenAlex references / related works snowball,snowball,referenced_work,"Gnss-denied unmanned aerial vehicle navigation: analyzing computational complexity, sensor fusion, and localization methodologies",UAV navigation in large-scale GPS-denied bridge environments using fiducial marker-corrected stereo visual-inertial localisation,Feng Wang; Yang Zou; Cheng Zhang; Joao Buzzatto; Minas Liarokapis; Enrique del Rey Castillo; James B.P. Lim,2023,2023-10-21,10.1016/j.autcon.2023.105139,https://doi.org/10.1016/j.autcon.2023.105139,True,26,39,Fiducial marker; Computer vision; Artificial intelligence; Global Positioning System; Computer science; Inertial measurement unit; Bridge (graph theory); Visual inspection; Visual odometry; Inertial frame of reference; Pose; Robot,"The use of Unmanned Aerial Vehicles (UAVs) for bridge inspection has gained popularity recently; however, accurately localising the UAV in GPS-denied areas is still challenging, which hinders the development of fully autonomous UAV-assisted bridge inspection solutions. This paper proposes a fiducial marker-corrected stereo visual-inertial localisation (FMC-SVIL) method, running on a resource-constrained onboard computer, to estimate UAV's global pose underneath bridge girders. The proposed FMC-SVIL utilises an optimised stereo visual-inertial odometry for continuous relative pose estimation between consecutive camera frames and an improved AprilTag2-based measurement algorithm for accurate global referencing and periodic pose corrections. The method is validated through extensive experiments, and the results show that the FMC-SVIL achieved UAV localisation with a root mean square error of 0.416 m in sunny conditions and 0.340 m in cloudy conditions. FMC-SVIL outperforms the leading vision-based simultaneous localisation and mapping (SLAM) algorithms for flights over multiple bridge spans."
