query,seendate,title,domain,language,sourcecountry,url,url_mobile,socialimage
Ukrzaliznytsia,20260630T111500Z,"Агросектор рискует потерять сотни миллионов долларов из - за новых тарифов  Укрзалізниці , – Мартышев",obozrevatel.com,Russian,Ukraine,https://www.obozrevatel.com/ekonomika-glavnaya/agrosektor-riskuet-poteryat-sotni-millionov-dollarov-iz-za-novyih-tarifov-ukrzaliznitsi-martyishev.htm,https://www.obozrevatel.com/ekonomika-glavnaya/agrosektor-riskuet-poteryat-sotni-millionov-dollarov-iz-za-novyih-tarifov-ukrzaliznitsi-martyishev/amp.htm,
"""Ukraine"" ""energy infrastructure""",20260629T190000Z,"Украина лучше подготовилась к отопительному сезону 2026 / 27 , чем год назад – гендиректор ДТЭК | Новости Украины",news.liga.net,Russian,Ukraine,https://news.liga.net/society/news/dtek-ukraina-vstupaet-v-otopitelnyi-sezon-202627-v-luchshem-sostoyanii-chem-v-proshlom-godu,https://news.liga.net/amp/society/news/dtek-ukraina-vstupaet-v-otopitelnyi-sezon-202627-v-luchshem-sostoyanii-chem-v-proshlom-godu,https://storage.liga.net/images/general/social/social-4628338-ru.png?v=1782747266
"""Ukraine"" ""Shahed""",20260629T140000Z,Belarus Relay Shutdown Limits Russia Real - Time Control of Shahed Drones,kyivpost.com,English,Ukraine,https://www.kyivpost.com/post/79215,,https://static.kyivpost.com/storage/2026/05/18/d396bc63367b7bfeca2a828783fd9038.jpg?&q=90&f=jpg
Ukrzaliznytsia,20260628T164500Z,В Киев прибыла канцлер казначейства Великобритании Рэйчел Ривз что известно фото,obozrevatel.com,Russian,Ukraine,https://www.obozrevatel.com/politics-news/v-kiev-pribyila-kantsler-kaznachejstva-velikobritanii-podrobnosti-i-foto.htm,https://www.obozrevatel.com/politics-news/v-kiev-pribyila-kantsler-kaznachejstva-velikobritanii-podrobnosti-i-foto/amp.htm,
"""Ukraine"" ""Shahed""",20260627T104500Z,"Ukraine air defenses down 113 of 129 enemy targets , 13 attack UAVs hit seven locations",en.interfax.com.ua,English,Ukraine,https://en.interfax.com.ua/news/general/1180193.html,https://en.interfax.com.ua/news/general/1180193-amp.html,https://media.interfax.com.ua/media/thumbs/images/2024/12/blxtk/2YY1PfUwulfB.jpg
Ukrzaliznytsia,20260627T100000Z,Тарифы УЗ - Укрзализныця повысит цены с 1 августа 2026 - какие тарифы вырастут,24tv.ua,Russian,Ukraine,https://24tv.ua/economy/ru/tarify-uz-ukrzaliznycja-povysit-ceny-1-avgusta-2026-kakie-tarify_n3095418,https://24tv.ua/economy/ru/tarify-uz-ukrzaliznycja-povysit-ceny-1-avgusta-2026-kakie-tarify_n3095418/amp,https://24tv.ua/resources/photos/news/202606/3095418.jpg?v=1782551718000
Ukrzaliznytsia,20260626T201500Z,Agreement on $18 mln in intl support for Ukrzaliznytsia reached at URC 2026 – Kuleba,en.interfax.com.ua,English,Ukraine,https://en.interfax.com.ua/news/economic/1180128.html,https://en.interfax.com.ua/news/economic/1180128-amp.html,https://media.interfax.com.ua/media/thumbs/images/2026/06/rigec/hm0Bv2UH_fiV.jpg
Ukrzaliznytsia,20260626T140000Z,"Финансовые проблемы  Укрзализныци  требуют комплексного решения , а не повышения тарифов , – Костерный",obozrevatel.com,Russian,Ukraine,https://www.obozrevatel.com/ekonomika-glavnaya/finansovyie-problemyi-ukrzaliznyitsi-trebuyut-kompleksnogo-resheniya-a-ne-povyisheniya-tarifov-kosternyij.htm,https://www.obozrevatel.com/ekonomika-glavnaya/finansovyie-problemyi-ukrzaliznyitsi-trebuyut-kompleksnogo-resheniya-a-ne-povyisheniya-tarifov-kosternyij/amp.htm,
"""Ukraine"" ""energy infrastructure""",20260626T090000Z,"우크라이나 , 러 에너지 인프라 정조준 … 40일 작전  으로 종전 압박",biz.heraldcorp.com,Korean,South Korea,https://biz.heraldcorp.com/article/10789838,,https://wimg.heraldcorp.com/news/cms/2026/06/26/rcv.YNA.20260626.PRU20260626141801009_T1.jpg
"""Ukraine"" ""energy infrastructure""",20260626T050000Z,"В Одеській області через атаку РФ пошкоджено енергетичну інфраструктуру Вилківської громади , постраждала людина – РДА",interfax.com.ua,Ukrainian,Ukraine,https://interfax.com.ua/news/general/1179809.html,https://interfax.com.ua/news/general/1179809-amp.html,https://media.interfax.com.ua/media/thumbs/images/2025/02/nindd/h-YfkF729NmX.jpg
