time_start,time_end,model,launch_place,target,target_main,launched,destroyed,not_reach_goal,still_attacking,border_crossing,is_shahed,num_hit_location,num_fall_fragment_location,carrier,turbojet,turbojet_destroyed,affected region,destroyed_details,launched_details,launch_place_details,source
2026-02-28 18:00,2026-03-01 08:30,Shahed-136/131,"Primorsko-Akhtarsk and Kursk oblast and Millerovo and Hvardiiske, Crimea",Ukraine,,123.0,110.0,0.0,0.0,{},70.0,7.0,4.0,,,,,"{'south': 49, 'east': NaN, 'north': NaN}",,,kpszsu/posts/pfbid02m1xvUpDFCyo5TXqDX2L5bKpJrtc5owuTthHL19ND6d4HBLpVCVrPJ8fQycAHRUccl
2026-02-27 18:00,2026-02-28 08:00,Shahed-136/131,"Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Shatalovo and Hvardiiske, Crimea and Donetsk oblast",Ukraine,,105.0,96.0,0.0,3.0,{},60.0,7.0,0.0,,,,,"{'south': 14, 'east': NaN, 'north': NaN}",,,kpszsu/posts/pfbid02m1xvUpDFCyo5TXqDX2L5bKpJrtc5owuTthHL19ND6d4HBLpVCVrPJ8fQycAHRUccl
2026-02-27 18:00,2026-02-28 08:00,Iskander-M,Voronezh oblast,Ukraine,,1.0,0.0,,,{},,,,,,,,,,,kpszsu/posts/pfbid02m1xvUpDFCyo5TXqDX2L5bKpJrtc5owuTthHL19ND6d4HBLpVCVrPJ8fQycAHRUccl
2026-02-28,2026-02-28,Unknown UAV,,south,,41.0,41.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid0vw4ooHYbSBkqkoUx2TFbvdWEJbvvEuk4DH3BRKLVsHwVmpKq1yUDXGzzfZgrKWYhl
2026-02-28,2026-02-28,Reconnaissance UAV,,south,,1.0,1.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid0vw4ooHYbSBkqkoUx2TFbvdWEJbvvEuk4DH3BRKLVsHwVmpKq1yUDXGzzfZgrKWYhl
2026-02-26 18:00,2026-02-27 08:30,Shahed-136/131,"Primorsko-Akhtarsk and Bryansk oblast and Oryol oblast and Shatalovo and Hvardiiske, Crimea",Ukraine,,187.0,165.0,0.0,2.0,{},120.0,14.0,0.0,,,,,"{'south': 39, 'east': NaN, 'north': NaN}",,,kpszsu/posts/pfbid012veiDLbLVUbo3KoqChvbPNjefzBsMsYpdKp1TtMHVWxRGY8fdnY2386jP9J7jtgl
2026-02-27,2026-02-27,Unknown UAV,,south,,36.0,36.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid02adnF8YF41vEP6j6YKfpQd8XmVk2qdqQB3Cots2yd4arSoFPbYSgFfFLGUfcrY3wpl
2026-02-27,2026-02-27,Reconnaissance UAV,,south,,1.0,1.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid02adnF8YF41vEP6j6YKfpQd8XmVk2qdqQB3Cots2yd4arSoFPbYSgFfFLGUfcrY3wpl
2026-02-25 18:00,2026-02-26 10:00,Shahed-136/131,"Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Shatalovo and Hvardiiske, Crimea",Ukraine,,420.0,374.0,0.0,0.0,{},280.0,32.0,15.0,,,,,"{'south': 88, 'east': NaN, 'north': NaN}",,,kpszsu/posts/pfbid02MZ6XcRuDSNkLHf2Ck2w6E7v9WWiw1KMcQ8EbTvgzF4ybex4gUktiWpH7EkD1xU3Gl
2026-02-26 04:00,2026-02-26 07:00,X-69,,Ukraine,,2.0,2.0,,,{},,,,,,,,,,,kpszsu/posts/pfbid02MZ6XcRuDSNkLHf2Ck2w6E7v9WWiw1KMcQ8EbTvgzF4ybex4gUktiWpH7EkD1xU3Gl
2026-02-26 04:00,2026-02-26 07:00,X-101/X-555,Vologda oblast,Ukraine,,24.0,24.0,,,{},,,,,,,,,,,kpszsu/posts/pfbid02MZ6XcRuDSNkLHf2Ck2w6E7v9WWiw1KMcQ8EbTvgzF4ybex4gUktiWpH7EkD1xU3Gl
2026-02-26 04:00,2026-02-26 07:00,C-400 and Iskander-M,Bryansk oblast and Rostov oblast,Ukraine,,11.0,4.0,,,{},,,,,,,,,,,kpszsu/posts/pfbid02MZ6XcRuDSNkLHf2Ck2w6E7v9WWiw1KMcQ8EbTvgzF4ybex4gUktiWpH7EkD1xU3Gl
