date,rows,launched_total,destroyed_total,shahed_reported_total,sources
2025-12-01,1,62.0,39.0,35.0,kpszsu/posts/pfbid02YydEvSbVz8TpwW8PdrL3apsg9ef8cv5ZcucN7VpMi3WpsGdarrBsjMiMYca3XTzCl
2025-12-02,2,114.0,86.0,60.0,PvKPivden/posts/pfbid02XBf7vjjA1tVSGesadEAGUh9sKAXHVYe5pXuaQ5PFBiCikc972rnx71SWr8ft8Dv4l;kpszsu/posts/pfbid0SrUYwpjgCWFbupTiPUohXfpphYV8W8Gnfeho1kd7hCuo1PLwFtyPCC1G7qWnGofCl
2025-12-03,3,140.0,114.0,85.0,PvKPivden/posts/pfbid0djAXWhcMDBVhfzee7u4MCwAuSkCm5yc7ZSREZtBUcZnNvTkYvmKrQLdzFjnfsCfZl;kpszsu/posts/pfbid02jbnqt51T3VBG6ATaxLgPZwitZtn5p7X4wo6HrU9WovGFPmCz8jsBeDeaPNV1dMCsl
2025-12-04,2,149.0,92.0,90.0,PvKPivden/posts/pfbid02oRbYvTEcik2rciMpGGNDMZSemcE3C6DXAt9Q1vTXN4ycNwcinZwxC5zP5rsudUKnl;kpszsu/posts/pfbid02ULXuS1VDqhdBr4W6JeJaGAZihR51Lrdsbv1XSznLTgRYLEysMoXM5YJFda5Q797il
2025-12-05,4,706.0,620.0,300.0,PvKPivden/posts/pfbid0EccSTRX19v2DiQ4ayzFhpcfPuVmg1kCqMKQxfNQieabpsP8YcYa4NULLoQEy4TVbl;kpszsu/posts/pfbid08V2L3Y6pPBmVG3bXDkQWysJ4fhRpdpuUoPaD3BmYkJ5d4GWwKjzCjys9NmEZ7vPNl
2025-12-06,5,254.0,184.0,150.0,PvKPivden/posts/pfbid02poRv4JsAszQac9RAWUZdmhxmrmSFZXa6awvLnSaxbqRJuGwZuHEkemYEPb5b6nZ3l;kpszsu/posts/pfbid08V2L3Y6pPBmVG3bXDkQWysJ4fhRpdpuUoPaD3BmYkJ5d4GWwKjzCjys9NmEZ7vPNl;kpszsu/posts/pfbid0d2Rx2p1iSxS4i874x54NCZzg9fcsBvdA5SGa8s53UAmBLQsePqC2TyKm8KhpvAARl
2025-12-07,2,155.0,137.0,90.0,PvKPivden/posts/pfbid0ycrzdrq1huxrxWN7519qCh1voyRxB7b1V3bw3Ncs2L9iEW4hS49C2xge27XV93nhl;kpszsu/posts/pfbid02VX2GMTFpyPn5YEyVSrjzBacExTcvDn7vHDdXLVy1Um7ZUnBsnUKb8AgCV413vq7l
2025-12-08,2,115.0,89.0,70.0,PvKPivden/posts/pfbid033hQrdKbze4zWPwJNwGgPNdGzYoefriparpVwCjPcoSLrEcY7D9doRfxwnVcMAPptl;kpszsu/posts/pfbid0Ampr9PhNKJScH6f5vwSy2AdS5FFu9B3azDQPPeQDU9pWt8pNBP2Sya3bprdRGer4l
2025-12-09,2,101.0,71.0,50.0,PvKPivden/posts/pfbid07jtT1fBLsgTWXoXE3pESCTSzgYHQ7tYicEpdUytzXnFuGXr6jzJTyQC2xhGA4H4vl;kpszsu/posts/pfbid0tvGwThvr1pXu5s6RnKr9reCYxRL7fmtkKimSdy3fXP4Gu6G2m8KR7ZA3utiN7beFl
2025-12-10,3,163.0,94.0,120.0,PvKPivden/posts/pfbid02tuQEN6dazi7q42VYPFDSDHYmehr4NSyPqtGC4hjs6QSEV8pUvUVvxvPkQdcZkNdwl;kpszsu/posts/pfbid02dXow9WyXnULBmapJQHGAwrsC54D8rPjAXdRrJLZh35EPUg3zyDVCsrPP6GutbKCpl
2025-12-11,2,91.0,75.0,50.0,PvKPivden/posts/pfbid02i2pfV8RzRossFiTQD3A8GamWv4YC963PtgST3MaV4vRN8oJVRxoboe12V6kkb5nkl;kpszsu/posts/pfbid02HqN3cFmrGoh3yk6GsPEZKhbpwYma2rSYdVEkzVB6UB1EHyaGoJfappvzGBJSBhZl
2025-12-12,5,494.0,430.0,270.0,PvKPivden/posts/pfbid0GHvUKb2JZi31baCdGjeCGoRJqr669dLF2YG2yviSU3dFhaCm6Aj8yftsBLZwKb8rl;kpszsu/posts/pfbid02ZcDb86fcRJkTEX2nFWUauYaSohMZAqqQwmUdbJXdnk9ACAScbdUNMcczyUYaVnbvl
2025-12-13,3,143.0,110.0,85.0,kpszsu/posts/pfbid026Q2GDLzUYxaCVAsqT46hYAoUZBSixeL9Wk3gvwrtQswNUcWhTHAmWx14GvgLzeuvl;kpszsu/posts/pfbid02ZcDb86fcRJkTEX2nFWUauYaSohMZAqqQwmUdbJXdnk9ACAScbdUNMcczyUYaVnbvl
2025-12-14,3,165.0,145.0,90.0,PvKPivden/posts/pfbid02V3GssfKU318oBnjuZSeuvrVRY5tSGanyBKMvNeaDQe3QaG8yyYHz32trdmF5StUvl;kpszsu/posts/pfbid0HPGJM8mb29pP8SUVr3dGHEJGdNS9EKsZY6Vf3JuzTnaBmBhuiWkUkHbpJ9WxW3Kpl
2025-12-15,2,89.0,77.0,40.0,PvKPivden/posts/pfbid02exbRMnYQNADFf8wjqY43qCzneiEgGDEG9TJuN6Mcbba4cdPc342JRbUk3WzNj9qnl;kpszsu/posts/pfbid0rRMeXQscwb1Q9DPAWe92KK1KPJSbrH11wubTTpohv5xBq3T5CdTWsZKmT6u3qVeTl
2025-12-16,3,97.0,65.0,40.0,PvKPivden/posts/pfbid0XqfvSinhdgX1rutEp62z5XkL3BusAKjuTwCvvPT3PrKEbx45KM4Gs3xSpp22kTPVl;kpszsu/posts/pfbid02tGpTArGnsACM3zraDTR44mahdQWv8f3PHiuaczVU9pyaUM5hM6EmUyWZP98uZmgWl
2025-12-17,3,104.0,85.0,50.0,PvKPivden/posts/pfbid02TzEAdJyrSDG7ZyPMidjqntLhvaVvaCJLHKWTrGEDQhMNn1WFvZwtpRJo4x3pjBWLl;kpszsu/posts/pfbid0Py4iNbt5xdmMdm3o8ih484zPWBaJU6a14CyjNcgtoXJmuDdKtu3BENXyZN5NygEWl
2025-12-18,3,172.0,120.0,90.0,PvKPivden/posts/pfbid02M1c5e8cAM24AAype6k2bFteWSVbSHUbuWonWb6DYhQYXo8tZmoRqbDf5dLkx7bEYl;kpszsu/posts/pfbid0RTZVJ4Bzax1v3iHB24oKFmie7yEN5cKa7mTFsU1nU4N4a2bf6rMHSnMq9BrujSsDl
2025-12-19,4,82.0,58.0,30.0,PvKPivden/posts/pfbid0BYwBu9ibeYnRxWBtBUf4igQTvBh7fzGqSVX4PUbrjF1VMoTwJXDeZToR8PN7E8Zul;kpszsu/posts/pfbid02kZAkEHp6gEc96TCivvhyQjZVv9n4XtUbwhEMfdktqdubmMMYrNHVy7BWJTvV5xbkl
2025-12-20,1,97.0,75.0,60.0,kpszsu/posts/pfbid02qLEaQTaKxDLxG5DEmkr3VQwhcqGKdCZZL6trtJKBwqYsxvPAvsDrN2eziPzuz9wul
2025-12-21,3,89.0,60.0,50.0,PvKPivden/posts/pfbid02DHqy1fUPi9Qw3pRT4a5qduZZ3z8DXG1expZwnbHdgp9ZfcsPR2YzkTucyjgaWevpl;kpszsu/posts/pfbid02BzvjqsN6gti8C9T4V5ChP5aRAyLoFwLpNSWZe3X4sgmPGh5XnqfMAJBdKyyFdFuAl
2025-12-22,2,657.0,609.0,400.0,PvKPivden/posts/pfbid02CZam3Qb7dLT5oz3yKez8QRHmTUgtCA9MCC1XgN1HYaXq6MmdTzvcehJpAyJnYq6ql;kpszsu/posts/pfbid0FoCxAp85ztgf726AWrWAHUb95J5pg2trsLyLJ4tuu9F4fCJjikuyhC5oM7kXpTmUl
2025-12-23,5,192.0,132.0,90.0,PvKPivden/posts/pfbid02Uro9DVpWfX9cS1pdqouKDY1tnKxdhaxM2WZj16RtfpzS4khcQySv2UkCeHMRicu9l;kpszsu/posts/pfbid02TdvFmxzn9pVKEPBwwREcRouBdCnBzxLHTJKqxC8DeSS3CexMsh28Yv9ezxYkh7tYl;kpszsu/posts/pfbid0FoCxAp85ztgf726AWrWAHUb95J5pg2trsLyLJ4tuu9F4fCJjikuyhC5oM7kXpTmUl
2025-12-24,3,162.0,137.0,90.0,PvKPivden/posts/pfbid0iSCghxMje9eFm7QBkdEuLAShqrbfsHgsmKegfpEg43hiP7bwj4GnBKadSXQFTw84l;kpszsu/posts/pfbid0nK4oLUznziB9epicExEtaaRpRoNgUJuds36jKVpskHRzUK113qtHXuxcdfL74pUtl
2025-12-25,4,134.0,107.0,60.0,PvKPivden/posts/pfbid033UyFgvMhbfZXgJR1Z8YckhfukZS4p6BxWBKmSZinzmeuvch7orooy9sBF66mp8cUl;kpszsu/posts/pfbid025ZYFmtV3x3fkEChfVX7wzBVAi31fHbVqUK5EthZQ2sfHSn2jdKT7h6hyNLBqnXj5l
2025-12-26,6,569.0,513.0,300.0,PvKPivden/posts/pfbid023vdvRUYCiP6Uz7QPf2S1nBfNdQDJCJhyfh2xcFvP8A2P9schnQ7dVyuS5mzk16wrl;kpszsu/posts/pfbid028r7WWV4BK1ArpzwXG5BYQWundMz3ubFdXcN7Bn3H8XrV2qoLcYuB6ZKtChTSXtE2l
2025-12-27,2,71.0,53.0,30.0,PvKPivden/posts/pfbid02opeokGg5nzmMi2o8NSHM9ucyb2fQnxVcfqVberkVTwkg84xEwzTBY53ks35w7aj4l;kpszsu/posts/pfbid0esgp8R5DcgowzrZSA4repGZPJdLC5ZDf24ZbKaaLrXQY6LzkPDRNtmvoXGGzcjzRl
2025-12-28,2,38.0,34.0,15.0,PvKPivden/posts/pfbid02GFRAswH8to8QvkXDkE8dLDdJK4YHz9BqumRuyGJYZNJR1nvBBUVEbF1RgEBiLNeal;kpszsu/posts/pfbid0YpgmEGzfg4LuiPJoN8wDH1VvEJ2FdmhUUCqJa85k2TXJPt9C1EYMJ3En9xAYmDijl
