aoi,aoi_label,osm_type,osm_id,lat,lon,name,railway,power,amenity,bridge,harbour,industrial,operator,source
kyiv,Kyiv,node,242893042,50.2568218,30.3054217,Глеваха,halt,,,,,,,OpenStreetMap Overpass
kyiv,Kyiv,node,346462220,50.4688799,30.4408397,Київ-Пасажирський-Дитячий,station,,,,,,"АТ ""Укрзалізниця""",OpenStreetMap Overpass
kyiv,Kyiv,node,354092439,50.3744047,30.5490557,Проспект Науки,halt,,,,,,Укрзалізниця,OpenStreetMap Overpass
kyiv,Kyiv,node,354674961,50.5336396,30.1993668,Склозаводська,halt,,,,,,,OpenStreetMap Overpass
kyiv,Kyiv,node,354674990,50.5511396,30.2368066,Лісова Буча,halt,,,,,,,OpenStreetMap Overpass
kyiv,Kyiv,node,354675239,50.4284782,30.4028472,Алмаз,halt,,,,,,,OpenStreetMap Overpass
kyiv,Kyiv,node,384752646,50.4567837,30.5228045,,train_station_entrance,,,,,,,OpenStreetMap Overpass
kyiv,Kyiv,node,420462973,50.4384993,30.6755078,Дарниця-Депо,halt,,,,,,Укрзалізниця,OpenStreetMap Overpass
kyiv,Kyiv,node,420462975,50.4422986,30.6902406,ДВРЗ,halt,,,,,,Укрзалізниця,OpenStreetMap Overpass
kyiv,Kyiv,node,420462976,50.4787289,30.7573344,Ялинка,halt,,,,,,,OpenStreetMap Overpass
kyiv,Kyiv,node,420462978,50.4955802,30.7838995,Княжичі,halt,,,,,,,OpenStreetMap Overpass
kyiv,Kyiv,node,429630790,50.5143973,30.8137269,Бровари,station,,,,,,Укрзалізниця,OpenStreetMap Overpass
kyiv,Kyiv,node,440315387,50.4378289,30.4490791,Караваєві Дачі,halt,,,,,,Південно-Західна залізниця,OpenStreetMap Overpass
kyiv,Kyiv,node,493853015,50.3167991,30.2988697,Боярка,station,,,,,,Укрзалізниця,OpenStreetMap Overpass
kyiv,Kyiv,node,599211137,50.3713004,30.8609381,,,,hospital,,,,,OpenStreetMap Overpass
kyiv,Kyiv,node,612054087,50.548643,30.220902,Буча,station,,,,,,Укрзалізниця,OpenStreetMap Overpass
kyiv,Kyiv,node,615951279,50.2668363,30.5541664,Підгірці,station,,,,,,,OpenStreetMap Overpass
kyiv,Kyiv,node,796649126,50.390281,30.5661284,Заводська,station,,,,,,ПрАТ «Київ-Дніпровське МППЗТ»,OpenStreetMap Overpass
kyiv,Kyiv,node,820924386,50.400682,30.8230576,Мала Олександрівка,halt,,,,,,Південно-Західна залізниця,OpenStreetMap Overpass
kyiv,Kyiv,node,852766062,50.4601679,30.4923873,Невідкладна допомога «Добробут»,,,hospital,,,,,OpenStreetMap Overpass
kyiv,Kyiv,node,854326868,50.4539944,30.5990931,РП-6,,substation,,,,,,OpenStreetMap Overpass
kyiv,Kyiv,node,988560310,50.4263216,30.5065198,Протасів Яр,halt,,,,,,,OpenStreetMap Overpass
kyiv,Kyiv,node,988560679,50.4050736,30.5366647,Київ-Деміївський,station,,,,,,Укрзалізниця,OpenStreetMap Overpass
kyiv,Kyiv,node,1011177075,50.4521317,30.6042366,Лівобережна,halt,,,,,,Укрзалізниця,OpenStreetMap Overpass
kyiv,Kyiv,node,1175792200,50.4320794,30.6477174,Дарниця,station,,,,,,Укрзалізниця,OpenStreetMap Overpass
kyiv,Kyiv,node,1178950971,50.422232,30.7235108,Лісництво,halt,,,,,,Південно-Західна залізниця,OpenStreetMap Overpass
