APC,MRL,aircraft,anti-aircraft warfare,cruise missiles,date,day,drone,field artillery,ground robotic systems,helicopter,naval ship,special equipment,submarines,tank,vehicles and fuel tanks
23678,1552,430,1253,4024,2025-12-01,1377,86090,34754,,347,28,4010,1,11387,68583
23679,1552,430,1253,4024,2025-12-02,1378,86141,34768,,347,28,4011,1,11387,68641
23682,1555,430,1253,4024,2025-12-03,1379,86231,34780,,347,28,4012,1,11393,68688
23685,1556,430,1253,4024,2025-12-04,1380,86476,34809,,347,28,4012,1,11396,68813
23686,1558,431,1253,4024,2025-12-05,1381,86900,34843,,347,28,4014,1,11396,68907
23688,1560,431,1253,4024,2025-12-06,1382,87387,34874,,347,28,4015,1,11398,69037
23688,1562,431,1253,4054,2025-12-07,1383,87927,34907,,347,28,4015,1,11401,69135
23689,1562,431,1253,4058,2025-12-08,1384,88457,34917,,347,28,4018,1,11403,69182
23691,1563,431,1253,4058,2025-12-09,1385,88889,34944,,347,28,4019,1,11403,69243
23692,1563,431,1253,4058,2025-12-10,1386,89066,34969,,347,28,4019,1,11404,69350
23699,1564,431,1253,4058,2025-12-11,1387,89148,34992,,347,28,4022,1,11404,69507
23705,1566,432,1256,4060,2025-12-12,1388,89401,35008,,347,28,4024,1,11406,69614
23714,1567,432,1258,4060,2025-12-13,1389,89684,35032,,347,28,4026,1,11409,69717
23721,1567,432,1259,4073,2025-12-14,1390,90124,35041,,347,28,4026,1,11410,69798
23731,1570,432,1261,4073,2025-12-15,1391,90777,35105,,347,28,4026,1,11412,70005
23737,1570,432,1261,4073,2025-12-16,1392,91219,35172,,347,28,4026,2,11421,70182
23758,1571,432,1262,4073,2025-12-17,1393,91386,35205,,347,28,4027,2,11427,70361
23758,1573,432,1263,4073,2025-12-18,1394,91716,35232,,347,28,4027,2,11432,70480
23768,1574,432,1263,4073,2025-12-19,1395,92142,35250,,347,28,4027,2,11433,70591
23769,1575,432,1263,4073,2025-12-20,1396,92488,35287,,347,28,4028,2,11433,70721
23770,1575,432,1263,4073,2025-12-21,1397,92604,35298,,347,28,4029,2,11435,70789
23772,1575,432,1263,4073,2025-12-22,1398,92713,35308,,347,28,4029,2,11438,70853
23792,1576,434,1263,4073,2025-12-23,1399,93166,35331,,347,28,4029,2,11446,70966
23796,1579,434,1263,4107,2025-12-24,1400,94197,35376,,347,28,4029,2,11449,71125
23801,1579,434,1263,4107,2025-12-25,1401,94797,35435,,347,28,4029,2,11456,71274
23804,1579,434,1264,4107,2025-12-26,1402,95334,35509,,347,28,4029,2,11459,71454
23823,1579,434,1264,4107,2025-12-27,1403,95539,35542,,347,28,4029,2,11464,71612
23831,1581,434,1264,4136,2025-12-28,1404,96227,35557,,347,28,4029,2,11469,71778
23837,1581,434,1264,4136,2025-12-29,1405,96532,35570,,347,28,4030,2,11472,71891
23841,1582,434,1264,4136,2025-12-30,1406,96932,35589,,347,28,4031,2,11477,72010
23845,1586,434,1266,4136,2025-12-31,1407,97684,35642,,347,28,4035,2,11481,72247
23849,1587,434,1266,4136,2026-01-01,1408,98453,35678,,347,28,4035,2,11488,72418
23851,1589,434,1267,4137,2026-01-02,1409,99043,35720,,347,28,4035,2,11494,72587
23855,1590,434,1267,4137,2026-01-03,1410,99582,35744,,347,28,4035,2,11497,72688
23855,1590,434,1268,4137,2026-01-04,1411,99860,35756,,347,28,4035,2,11499,72776
23857,1592,434,1268,4137,2026-01-05,1412,100564,35785,,347,28,4036,2,11507,72945
23863,1593,434,1269,4137,2026-01-06,1413,101443,35831,,347,28,4036,2,11512,73102
23865,1595,434,1269,4137,2026-01-07,1414,101849,35857,,347,28,4037,2,11515,73224
23874,1596,434,1269,4137,2026-01-08,1415,102074,35874,,347,28,4037,2,11521,73336
23882,1596,434,1269,4137,2026-01-09,1416,102761,35892,,347,28,4037,2,11526,73426
23882,1597,434,1269,4155,2026-01-10,1417,103414,35908,,347,28,4039,2,11530,73510
23885,1598,434,1269,4155,2026-01-11,1418,104068,35952,,347,28,4039,2,11541,73644
23892,1598,434,1270,4155,2026-01-12,1419,104421,35973,,347,28,4042,2,11541,73742
23899,1600,434,1270,4155,2026-01-13,1420,105354,36024,,347,28,4042,2,11544,73887
23902,1603,434,1275,4163,2026-01-14,1421,106428,36098,,347,28,4042,2,11550,74119
23904,1611,434,1277,4163,2026-01-15,1422,107357,36182,,347,28,4042,2,11557,74306
23908,1614,434,1277,4163,2026-01-16,1423,107884,36230,,347,28,4044,2,11563,74486
23914,1615,434,1278,4163,2026-01-17,1424,108605,36261,,347,28,4044,2,11569,74601
23919,1616,434,1278,4163,2026-01-18,1425,109450,36294,,347,28,4044,2,11571,74706
23922,1617,434,1278,4163,2026-01-19,1426,110215,36333,,347,28,4045,2,11573,74876
23928,1618,434,1279,4163,2026-01-20,1427,111140,36393,,347,28,4048,2,11579,75067
23938,1621,434,1279,4190,2026-01-21,1428,112159,36463,,347,28,4049,2,11587,75238
23943,1623,434,1282,4190,2026-01-22,1429,112828,36516,,347,28,4049,2,11596,75416
23946,1623,434,1282,4190,2026-01-23,1430,113277,36549,,347,28,4050,2,11599,75556
23949,1623,434,1283,4190,2026-01-24,1431,114049,36580,,347,28,4050,2,11603,75644
23950,1624,434,1286,4205,2026-01-25,1432,114896,36612,,347,28,4050,2,11605,75759
23951,1626,434,1286,4205,2026-01-26,1433,115813,36644,,347,28,4051,2,11608,75906
23954,1628,434,1286,4205,2026-01-27,1434,116712,36691,,347,28,4051,2,11609,76025
23958,1629,434,1286,4205,2026-01-28,1435,117724,36713,,347,28,4053,2,11609,76102
23965,1629,435,1288,4205,2026-01-29,1436,118679,36733,,347,28,4053,2,11613,76190
23969,1631,435,1289,4205,2026-01-30,1437,119234,36748,,347,28,4054,2,11614,76319
23977,1632,435,1290,4205,2026-01-31,1438,119928,36768,,347,28,4054,2,11619,76377
23980,1632,435,1290,4205,2026-02-01,1439,120134,36777,,347,28,4055,2,11625,76439
23981,1633,435,1291,4205,2026-02-02,1440,121217,36802,,347,28,4057,2,11627,76585
23985,1633,435,1292,4205,2026-02-03,1441,122388,36855,,347,28,4058,2,11633,76738
23992,1634,435,1293,4245,2026-02-04,1442,123743,36915,,347,28,4062,2,11637,76949
23996,1636,435,1293,4245,2026-02-05,1443,125094,36975,,347,28,4062,2,11642,77149
24007,1637,435,1295,4245,2026-02-06,1444,125920,37014,,347,28,4063,2,11648,77311
24009,1637,435,1295,4245,2026-02-07,1445,127081,37036,,347,28,4064,2,11650,77379
24010,1637,435,1295,4269,2026-02-08,1446,127549,37044,,347,28,4069,2,11651,77439
24013,1637,435,1295,4270,2026-02-09,1447,127962,37056,,347,28,4069,2,11654,77552
24018,1637,435,1297,4270,2026-02-10,1448,129160,37089,,347,28,4070,2,11656,77734
