id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
631811,UKR-2026-1-14117-1241,2026,true,Clear,1,,13243,Russia - Ukraine,14117,14117,Government of Russia (Soviet Union) - Government of Ukraine,57,57,Government of Russia (Soviet Union),61,61,Government of Ukraine,1,"""Russo-Ukrainian Warspotting,2026-06-16,1 May 2026""",Russo-Ukrainian Warspotting,2026-06-16,1 May 2026,Russo-Ukrainian Warspotting,1,Arkhangel’skoye village,"Arkhangelskoe, Shebekino raion",Belgorod oblast,Shebekinskiy raion,50.353491,36.781760,POINT (36.78176 50.353491),202034,Russia (Soviet Union),365,Europe,1,1,2026-05-01 00:00:00.000,2026-05-01 00:00:00.000,3,0,0,0,3,5,1,365,369
629928,UKR-2026-1-14117-1053,2026,true,Clear,1,,13243,Russia - Ukraine,14117,14117,Government of Russia (Soviet Union) - Government of Ukraine,57,57,Government of Russia (Soviet Union),61,61,Government of Ukraine,1,"""ITAR-TASS,2026-05-02,A civilian was killed in a drone attack in a village in the Bryansk region.""",Unified news feed,2026-05-02,A civilian was killed in a drone attack in a village in the Bryansk region.,Russia (regional Governor Alexander Bogomaz),1,Belaya Beryozka village,village of Belaya Berezka in the Trubchevsky District of the Bryansk Region,Bryansk oblast,Trubchevsky rayon,52.379708,33.482754,POINT (33.482754 52.379708),204907,Russia (Soviet Union),365,Europe,1,1,2026-05-02 00:00:00.000,2026-05-02 00:00:00.000,0,0,1,0,1,1,1,365,369
629937,UKR-2026-1-14117-1054,2026,true,Clear,1,,13243,Russia - Ukraine,14117,14117,Government of Russia (Soviet Union) - Government of Ukraine,57,57,Government of Russia (Soviet Union),61,61,Government of Ukraine,2,"""ITAR-TASS,2026-05-02,The Governor of the Moscow Region reported the destruction of six drones and the suppression of one by electronic warfare systems. A 77-year-old man died in the Volokolamsk District."";""ITAR-TASS,2026-05-02,A 77-year-old man died in the village of Chernevo near Volokolamsk after a drone attack, the governor said.""",Unified news feed;Unified news feed,2026-05-02;2026-05-02,"The Governor of the Moscow Region reported the destruction of six drones and the suppression of one by electronic warfare systems. A 77-year-old man died in the Volokolamsk District.;A 77-year-old man died in the village of Chernevo near Volokolamsk after a drone attack, the governor said.",Russia (Governor of the Moscow Region),1,Chernevo village,"village of Chernevo , Volokolamsk District.",Moscow oblast,Volokolamskiy rayon,55.879280,35.723490,POINT (35.72349 55.87928),209952,Russia (Soviet Union),365,Europe,1,1,2026-05-02 00:00:00.000,2026-05-02 00:00:00.000,0,0,1,0,1,1,1,365,369
629940,UKR-2026-1-14117-1056,2026,true,Clear,1,,13243,Russia - Ukraine,14117,14117,Government of Russia (Soviet Union) - Government of Ukraine,57,57,Government of Russia (Soviet Union),61,61,Government of Ukraine,1,"""ITAR-TASS,2026-05-03,Two civilians were killed and one was wounded as a result of a Ukrainian Armed Forces attack using a drone in the Belgorod region, says the governor.""",Unified news feed,2026-05-03,"Two civilians were killed and one was wounded as a result of a Ukrainian Armed Forces attack using a drone in the Belgorod region, says the governor.",Russia (governor),4,Belgorod oblast,Belgorod region,Belgorod oblast,,50.750000,37.500000,POINT (37.5 50.75),202756,Russia (Soviet Union),365,Europe,1,1,2026-05-03 00:00:00.000,2026-05-03 00:00:00.000,0,0,2,0,2,2,2,365,369
629942,UKR-2026-1-14117-1058,2026,true,Clear,1,,13243,Russia - Ukraine,14117,14117,Government of Russia (Soviet Union) - Government of Ukraine,57,57,Government of Russia (Soviet Union),61,61,Government of Ukraine,3,"""ITAR-TASS,2026-05-04,A civilian was killed and seven others were wounded in the Belgorod region as a result of Ukrainian Armed Forces strikes."";""ITAR-TASS,2026-05-04,A civilian was killed and seven others were wounded in the Belgorod region as a result of Ukrainian Armed Forces strikes."";""ITAR-TASS,2026-05-05,In the Belgorod region, as a result of attacks by the Ukrainian Armed Forces , a civilian was killed and more than 10 were injured in one day.""",Unified news feed;Unified news feed;Unified news feed,2026-05-04;2026-05-04;2026-05-05,"A civilian was killed and seven others were wounded in the Belgorod region as a result of Ukrainian Armed Forces strikes.;A civilian was killed and seven others were wounded in the Belgorod region as a result of Ukrainian Armed Forces strikes.;In the Belgorod region, as a result of attacks by the Ukrainian Armed Forces , a civilian was killed and more than 10 were injured in one day.",Russia (Governor Vyacheslav Gladkov),1,Batratskaya Dacha village,"Belgorod region, Shebekinsky District, village of Batratskaya Dacha",Belgorod oblast,Shebekinskiy raion,50.568340,36.826650,POINT (36.82665 50.56834),202754,Russia (Soviet Union),365,Europe,1,1,2026-05-04 00:00:00.000,2026-05-04 00:00:00.000,0,0,1,0,1,1,1,365,369
631825,UKR-2026-1-14117-1251,2026,true,Clear,1,,13243,Russia - Ukraine,14117,14117,Government of Russia (Soviet Union) - Government of Ukraine,57,57,Government of Russia (Soviet Union),61,61,Government of Ukraine,1,"""Russo-Ukrainian Warspotting,2026-06-16,4 May 2026""",Russo-Ukrainian Warspotting,2026-06-16,4 May 2026,Russo-Ukrainian Warspotting,3,Shebekinskiy raion,Shebekino raion,Belgorod oblast,Shebekinskiy raion,50.500000,37.000000,POINT (37 50.5),202755,Russia (Soviet Union),365,Europe,1,1,2026-05-04 00:00:00.000,2026-05-04 00:00:00.000,1,0,0,0,1,1,1,365,369
631826,UKR-2026-1-14117-1252,2026,true,Clear,1,,13243,Russia - Ukraine,14117,14117,Government of Russia (Soviet Union) - Government of Ukraine,57,57,Government of Russia (Soviet Union),61,61,Government of Ukraine,1,"""Russo-Ukrainian Warspotting,2026-06-16,4 May 2026""",Russo-Ukrainian Warspotting,2026-06-16,4 May 2026,Russo-Ukrainian Warspotting,4,Belgorod oblast,Belgorod oblast,Belgorod oblast,,50.750000,37.500000,POINT (37.5 50.75),202756,Russia (Soviet Union),365,Europe,1,1,2026-05-04 00:00:00.000,2026-05-04 00:00:00.000,1,0,0,0,1,1,1,365,369
629952,UKR-2026-1-14117-1067,2026,true,Clear,1,,13243,Russia - Ukraine,14117,14117,Government of Russia (Soviet Union) - Government of Ukraine,57,57,Government of Russia (Soviet Union),61,61,Government of Ukraine,1,"""ITAR-TASS,2026-05-11,One person was killed and three were injured as a result of attacks by the Ukrainian Armed Forces in the Belgorod region.""",Unified news feed,2026-05-11,One person was killed and three were injured as a result of attacks by the Ukrainian Armed Forces in the Belgorod region.,Russia (Governor Vyacheslav Gladkov),1,Voznesenovka village,"village of Voznesenovka, Belgorod region",Belgorod oblast,Shebekinskiy raion,50.419800,37.031300,POINT (37.0313 50.4198),202035,Russia (Soviet Union),365,Europe,1,1,2026-05-07 00:00:00.000,2026-05-07 00:00:00.000,0,0,1,0,1,1,1,365,369
629957,UKR-2026-1-14117-1070,2026,true,Clear,1,,13243,Russia - Ukraine,14117,14117,Government of Russia (Soviet Union) - Government of Ukraine,57,57,Government of Russia (Soviet Union),61,61,Government of Ukraine,1,"""ITAR-TASS,2026-05-12,In the Belgorod region, two civilians were killed and eight more were wounded in attacks by the Ukrainian Armed Forces in the past 24 hours.""",Unified news feed,2026-05-12,"In the Belgorod region, two civilians were killed and eight more were wounded in attacks by the Ukrainian Armed Forces in the past 24 hours.",Russia (regional task force),3,Shebekinskiy raion,"Belgorod region, Shebekinsky District",Belgorod oblast,Shebekinskiy raion,50.500000,37.000000,POINT (37 50.5),202755,Russia (Soviet Union),365,Europe,1,1,2026-05-07 00:00:00.000,2026-05-07 00:00:00.000,0,0,1,0,1,1,1,365,369
629956,UKR-2026-1-14117-1071,2026,true,Clear,1,,13243,Russia - Ukraine,14117,14117,Government of Russia (Soviet Union) - Government of Ukraine,57,57,Government of Russia (Soviet Union),61,61,Government of Ukraine,1,"""ITAR-TASS,2026-05-12,In the Belgorod region, two civilians were killed and eight more were wounded in attacks by the Ukrainian Armed Forces in the past 24 hours.""",Unified news feed,2026-05-12,"In the Belgorod region, two civilians were killed and eight more were wounded in attacks by the Ukrainian Armed Forces in the past 24 hours.",Russia (regional task force),1,Novaya Nelidovka village,"Belgorod region, village of Novaya Nelidovka in the Belgorod District",Belgorod oblast,Belgorodsky raion,50.448730,36.516620,POINT (36.51662 50.44873),202034,Russia (Soviet Union),365,Europe,1,1,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,0,0,1,0,1,1,1,365,369
