api_side,date,geo,id,lost_by,model,nearest_location,status,tags,type,unit
russia,2026-07-02,,45698,Russia,'Ulan-2' all-terrain vehicle,"Kramatorsk raion, Donetsk oblast",Destroyed,,Transport,
russia,2026-07-03,,45697,Russia,'Ulan-2' all-terrain vehicle,"Polohy raion, Zaporizhzhia oblast",Destroyed,,Transport,
russia,2026-07-03,,45696,Russia,'Ulan-2' all-terrain vehicle,"Polohy raion, Zaporizhzhia oblast",Destroyed,,Transport,
russia,2026-04-28,"48.984660,37.978780",45695,Russia,122mm 2A18 D-30 howitzer,"Torske (Lyman hromada), Kramatorsk raion",Damaged,,Towed artillery,
russia,2024-04-14,"47.430253,35.787286",45694,Russia,BMP-1(P),"Kopani (Orikhiv hromada), Polohy raion",Destroyed,,Infantry fighting vehicles,
russia,2024-03-31,"47.402930,35.847810",45692,Russia,BMP-1(P),"Novoprokopivka, Polohy raion",Destroyed,,Infantry fighting vehicles,
russia,2024-03-31,"47.429133,35.786454",45691,Russia,MT-LB(V),"Kopani (Orikhiv hromada), Polohy raion",Destroyed,,Infantry fighting vehicles,
russia,2024-01-24,"47.429017,35.786823",45690,Russia,T-55A,"Kopani (Orikhiv hromada), Polohy raion",Destroyed,Cope cage,Tanks,
russia,2026-06-09,"49.141260,37.851320",45689,Russia,122mm 2A18 D-30 howitzer,"Nove, Kramatorsk raion",Destroyed,,Towed artillery,
russia,2026-06-26,"48.142000,37.083330",45688,Russia,152mm 2S19 'Msta-S',"Novoolenivka, Pokrovsk raion",Destroyed,Cope cage,Self-propelled artillery,
russia,2026-05-30,"49.075050,37.970000",45687,Russia,122mm 2B17 BM-21-1 (for 9K51 'Grad'),"Yampolivka, Kramatorsk raion",Destroyed,"Shattered, Cope cage, Jammer",Rocket and missile artillery,
russia,2026-07-03,"47.205988,36.527509",45685,Russia,9A331M TLAR (for 9K332 'Tor-M2'),"Smyrnove, Polohy raion",Damaged,Loitering,Anti-aircraft systems,
russia,2026-07-02,,45664,Russia,MT-LB(V),"Sumy raion, Sumy oblast",Destroyed,"Cope cage, Hedgehog",Infantry fighting vehicles,
russia,2026-07-02,"46.125028,32.926444",45663,Russia,KamAZ 6x6,"Skadovsk, Skadovsk raion",Destroyed,"Jammer, ∆, ▲",Transport,
russia,2026-07-02,"48.092768,36.994132",45662,Russia,152mm 2S19 'Msta-S',"Zaporizhzhia, Pokrovsk raion",Destroyed,"Cope cage, Additional armour",Self-propelled artillery,
russia,2026-07-02,,45661,Russia,'Omich(-2)' multifunctional UGV,"Kupiansk raion, Kharkiv oblast",Destroyed,,Other,
russia,2026-07-01,,45660,Russia,'Ulan-2' all-terrain vehicle,,Destroyed,"Cope cage, Jammer",Transport,
russia,2026-07-02,,45652,Russia,'Ulan' all-terrain vehicle,"Polohy raion, Zaporizhzhia oblast",Destroyed,Jammer,Transport,
russia,2026-07-01,,45651,Russia,UAZ-452,"Kupiansk raion, Kharkiv oblast",Destroyed,"T, Jammer",Transport,
russia,2026-05-14,"48.978170,37.986350",45649,Russia,122mm 2A18 D-30 howitzer,"Torske (Lyman hromada), Kramatorsk raion",Destroyed,,Towed artillery,
russia,2026-06-04,"49.808580,37.720430",45648,Russia,122mm 2A18 D-30 howitzer,"Lyman Pershyi, Kupiansk raion",Destroyed,,Towed artillery,
russia,2026-06-11,"49.122880,37.907780",45647,Russia,152mm 2A65 'Msta-B' howitzer,"Ivanivka (Lyman hromada), Kramatorsk raion",Destroyed,,Towed artillery,
russia,2026-06-11,"49.429540,38.033430",45646,Russia,152mm 2S19 'Msta-S',"Kolomyichykha, Svatove raion",Destroyed,Cope cage,Self-propelled artillery,
russia,2026-06-12,"48.980700,37.983370",45645,Russia,122mm 2B17 BM-21-1 (for 9K51 'Grad'),"Torske (Lyman hromada), Kramatorsk raion",Destroyed,"Shattered, Z, Cope cage, Additional armour",Rocket and missile artillery,
russia,2026-06-13,"48.980640,37.995080",45643,Russia,122mm 2A18 D-30 howitzer,"Torske (Lyman hromada), Kramatorsk raion",Destroyed,,Towed artillery,
