factory_id,company_name,province,city,address_public,part_category,part_label,is_priority_assembly_seed,is_core_operating_assembly,is_reserve_assembly_seed,assembly_operating_status,assembly_node_role,priority_weight,priority_role,priority_site_label,priority_site_type,factory_manage_no,industry_code,industry_name,product_text,raw_materials_text,factory_size_label,employee_total,land_area_m2,manufacturing_area_m2,auxiliary_area_m2,building_area_m2,capacity_tier,recommended_role,capacity_index,capacity_confidence,predicted_output_units_30d,nominal_daily_output_units,surge_daily_output_units,setup_days_estimate,min_batch_units,estimated_yield_rate,grid_zone_id,grid_dependency_score,outage_output_multiplier,estimated_backup_hours,production_fit_score,physical_scale_score,workforce_score,energy_operating_scale_score,logistics_access_score,data_completeness_score,energy_match_type,energy_capacity_evidence_score,missing_evidence,source,source_row
fac_bc7e58b68d,(주)일흥,경기도,포천시,경기도 포천시 동교동 505 외 6필지,airframe,Airframe / Materials,False,False,False,,,1.0,,,,111511000000000,30399,그 외 자동차용 신품 부품 제조업 외 2 종,"제동장치및부분품, 강화플라스틱 구성품,금형제조",PP,중기업,240.0,21477.0,7545.64,5531.13,13076.77,B,surge,0.684,0.862,2975,99,123,3.7,280,0.915,grid_zone_bfcc2516,0.705,0.563,10.3,0.669,0.916,0.908,0.602,0.62,1.0,regional_industrial_proxy,0.602,equipment inventory | spare line capacity | shift availability | component QA certification | material inventory,data.go.kr 한국산업단지공단 전국등록공장현황_20200229 CSV,59528
fac_4b5f75efa3,(주)파트라,경기도,용인시,경기도 용인시 처인구 완장천로 118 -22(남사면),airframe,Airframe / Materials,False,False,False,,,1.0,,,,414612000000000,32091,금속 가구 제조업 외 4 종,"사무용가구, 사무용가구부품, 목재가구, 금형 및 금형용 부품","금속(철제), 플라스틱 사출품, 섬유(원단, 천), 스펀지, 목재(상판), 알루미늄 등",중기업,116.0,18760.0,11453.59,6297.83,17751.42,B,surge,0.684,0.832,3100,103,129,3.8,250,0.905,grid_zone_bfcc2516,0.698,0.567,23.2,0.743,0.942,0.788,0.581,0.62,1.0,regional_industrial_proxy,0.581,equipment inventory | spare line capacity | shift availability | component QA certification | material inventory,data.go.kr 한국산업단지공단 전국등록공장현황_20200229 CSV,42359
fac_72253f4176,동일정밀,경기도,군포시,경기도 군포시 고산로118번길 13 (당정동),airframe,Airframe / Materials,False,False,False,,,1.0,,,,414102000000000,29294,주형 및 금형 제조업,플라스틱 사출용 금형,금형강,소기업,7.0,516.0,222.0,45.0,267.0,C,backup,0.55,0.893,2275,76,92,3.6,280,0.914,grid_zone_bfcc2516,0.711,0.559,20.2,0.776,0.545,0.344,0.623,0.62,1.0,regional_industrial_proxy,0.623,equipment inventory | spare line capacity | shift availability | component QA certification | material inventory,data.go.kr 한국산업단지공단 전국등록공장현황_20200229 CSV,29008
fac_3a010122df,본하이테크(주),경기도,화성시,경기도 화성시 마도면 마도공단로6길 46-13,airframe,Airframe / Materials,False,False,False,,,1.0,,,,415902000000000,29294,주형 및 금형 제조업 외 5 종,"금형, 자동차부품, 신소재",,소기업,48.0,2745.0,1979.09,330.0,2309.09,C,backup,0.558,0.812,2325,78,94,3.8,270,0.923,grid_zone_bfcc2516,0.698,0.567,15.6,0.523,0.746,0.644,0.581,0.62,0.889,regional_industrial_proxy,0.581,equipment inventory | spare line capacity | shift availability | component QA certification | material inventory,data.go.kr 한국산업단지공단 전국등록공장현황_20200229 CSV,53570
fac_c647d0865d,에이테크솔루션(주),경기도,화성시,경기도 화성시 정남면 가장로 277,airframe,Airframe / Materials,False,False,False,,,1.0,,,,415902000000000,26299,그 외 기타 전자부품 제조업 외 11 종,"금형,사출제품,플라스틱제품",,중기업,275.0,32176.0,11954.52,3434.4,15388.92,B,surge,0.7,0.873,3375,112,140,3.7,380,0.913,grid_zone_bfcc2516,0.711,0.559,8.1,0.736,0.942,0.93,0.623,0.62,0.889,regional_industrial_proxy,0.623,equipment inventory | spare line capacity | shift availability | component QA certification | material inventory,data.go.kr 한국산업단지공단 전국등록공장현황_20200229 CSV,37612
fac_94c213e613,정일금형정공(주),경기도,군포시,경기도 군포시 산본로48번길 54 (당정동) (총 2 필지),airframe,Airframe / Materials,False,False,False,,,1.0,,,,414102000000000,29294,주형 및 금형 제조업 외 1 종,"금형, 플라스틱 사출물","MOLD,BASE,RISIN(ABS,PE,PP), SM-45C",소기업,38.0,2431.0,1377.43,450.81,1828.24,B,surge,0.639,0.923,2950,98,121,3.6,290,0.908,grid_zone_bfcc2516,0.717,0.555,18.0,0.822,0.715,0.606,0.643,0.62,1.0,regional_industrial_proxy,0.643,equipment inventory | spare line capacity | shift availability | component QA certification | material inventory,data.go.kr 한국산업단지공단 전국등록공장현황_20200229 CSV,31845
fac_4ffe268ca6,(주)한국카본,경상남도,밀양시,경상남도 밀양시 부북면 춘화로 85 (총 8 필지),airframe,Airframe / Materials,False,False,False,,,1.0,,,,180111000000000,23121,"1차 유리제품, 유리섬유 및 광학용 유리 제조업 외 5 종","탄소섬유,유리섬유",유리섬유,대기업,414.0,44277.0,21633.7,9095.84,30729.54,B,surge,0.684,0.862,3325,111,138,3.7,330,0.914,grid_zone_a1097f3c,0.435,0.73,5.9,0.609,0.993,0.998,0.492,0.62,1.0,regional_industrial_proxy,0.492,equipment inventory | spare line capacity | shift availability | component QA certification | material inventory,data.go.kr 한국산업단지공단 전국등록공장현황_20200229 CSV,164393
fac_a05baacbd9,(주)승우,경상북도,구미시,경상북도 구미시 1공단로4길 141-37 (공단동),airframe,Airframe / Materials,False,False,False,,,1.0,,,,471902000000000,29294,주형 및 금형 제조업,플라스틱 사출금형,금속,중기업,51.0,0.0,1827.31,1285.29,3112.6,C,backup,0.615,0.873,2875,96,118,3.7,340,0.908,grid_zone_e6011691,0.468,0.71,25.9,0.776,0.733,0.654,0.534,0.62,0.889,regional_industrial_proxy,0.534,equipment inventory | spare line capacity | shift availability | component QA certification | material inventory,data.go.kr 한국산업단지공단 전국등록공장현황_20200229 CSV,147462
fac_82ab4f0707,대성플라스틱,경상북도,김천시,경상북도 김천시 어모면 남산리 2050번지,airframe,Airframe / Materials,False,False,False,,,1.0,,,,471502000000000,23999,그 외 기타 분류 안된 비금속 광물제품 제조업 외 1 종,플라스틱 금형사출,"HPPE, PP",소기업,10.0,9109.1,1498.84,1724.86,3223.7,C,backup,0.603,0.923,2425,81,99,3.6,260,0.928,grid_zone_e6011691,0.475,0.706,19.3,0.822,0.771,0.397,0.555,0.62,1.0,regional_industrial_proxy,0.555,equipment inventory | spare line capacity | shift availability | component QA certification | material inventory,data.go.kr 한국산업단지공단 전국등록공장현황_20200229 CSV,146905
fac_bcb738a9ef,대진산업,경상북도,경주시,경상북도 경주시 외동읍 별미길 35-50,airframe,Airframe / Materials,False,False,False,,,1.0,,,,471302000000000,30399,그 외 자동차용 신품 부품 제조업 외 3 종,자동차용 플라스틱 사출품,"PP, ABS",소기업,19.0,1884.0,888.23,84.48,972.71,C,backup,0.559,0.862,2450,82,99,3.7,290,0.928,grid_zone_e6011691,0.462,0.714,17.0,0.669,0.673,0.496,0.514,0.62,1.0,regional_industrial_proxy,0.514,equipment inventory | spare line capacity | shift availability | component QA certification | material inventory,data.go.kr 한국산업단지공단 전국등록공장현황_20200229 CSV,150694
